Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"GS5047 VPA57 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project V","GS10985","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Listed,,,0,0,0,0
"GS5047 VPA84 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XII","GS11020","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Chongqing Pengshui IFM (conversion of logged to protected forest) Project","2721","Chongqing Fuguan Investment Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"King County Rural Forest Carbon Project","1911","King County Department of Natural Resources","Verra","VM0012","Agriculture; forestry and fishing","United States of America",Registered,,,0,96621,61861,34760
"GS5047 VPA56 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project IV","GS10984","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Listed,,,0,0,0,0
"Sichuan Santai Improved Forest Management Project","3387","Santai Shengda Development Co. LTD","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"ACP Sustainable Forest Cover Establishment Project","GS3421","Autoridad del Canal de Panama (ACP)","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Panama",Registered,,,0,0,0,0
"Reforestation, sustainable production and carbon sequestration project in José Ignacio Távara´s dry forest, Piura, Peru","T68OFUF9QR5G6N39E07UO2FNYYKZTV","AIDER","CDM Registry","CDM - AR-AM0003","Afforestation and reforestation","Peru",Registered,2009-11-02T00:00:00.000Z,2029-11-01T00:00:00.000Z,0,0,0,0
"Protection of high conservation value forests by Terneyles Group","1544","JSC Terneyles","Verra","VM0010","Agriculture; forestry and fishing",--,Listed,,,0,0,0,0
"Inner Mongolia Wu‘erqihan IFM (conversion of logged to protected forest) Project","1715","Not specified","Verra","VM0010","Agriculture; forestry and fishing","China",Registered,,,0,1232744,388728,844016
"CATALYZING COMMUNITY RESILIENCE  THROUGH CARBON FINANCE IN  ETHIOPIAN AFROMONTANE FORESTS","5191","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Ethiopia",Listed,,,0,0,0,0
"Conservation, Restoration and Sustainable Management of Classified Forests in Côte d’Ivoire (CRCF)","4329","Not specified","Verra","VCS-VM0007","Agriculture; forestry and fishing",--,Listed,,,0,0,0,0
"GS5047 VPA62 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project VII","GS10993","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"REDD+ Tauari Forest Conservation Project","4461","Not specified","Verra","VM0007","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"GS5047 VPA61 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project VI","GS10992","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Project to Restore Degraded Lands by Planting Forest and Fruit Trees in Northern Cameroon","4913","S2 Services","Verra","VM0047","Agriculture; forestry and fishing","Cameroon",Listed,,,0,0,0,0
"Inner Mongolia Keyihe IFM (conversion of logged to protected forest) Project","1718","Inner Mongolia Keyihe Forest Industry LLC.","Verra","VM0010","Agriculture; forestry and fishing","China",Registered,,,0,1814512,697979,1116533
"Sichuan Yanting IFM (conversion of logged to protected forest) Project","2724","Yanting Agricultural Tourism Investment Management Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Boden Creek Ecological Preserve Forest Carbon Project","647","Boden Creek Ecological Preserve","Verra","VM0007","Agriculture; forestry and fishing","Belize",Registered,,,0,194009,188302,5707
"Shaanxi Ningshan IFM (convesion of logging to protected forest) Project","4691","Shenzhen Nanniwan Industrial Investment Co.","Verra","VCS-ACM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Protecting Forest  by Distribution of Improved CookStove Project by C2Z Solutions","GS12232","CO2 to Net Zero Solutions (India) Pvt Ltd","Gold Standard","CDM - AMS-II.G.","Energy Demand","India",Listed,,,0,0,0,0
"Fujian Qingliu IFM (conversion of logged to protected forest) Project","2606","Fujian Qingliu Forestry Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Registered,,,0,474600,72969,401631
"Proyecto Forestal Alcaraván Orinoquía","BCR-CO-CO-14-003","CO2CERO SAS, ECOLOGIC SAS, SULTANA SAS, ENLACE ROJO SAS, ECOSISTEMA PRODUCTIVO MATAEMONTE SAS, LUIS FERNANDO RODRIGUEZ, INVERSIONES GUARDABOSQUES DE COLOMBIA, CLAUDIA HUERFANO y PUNTA DE GARZAS INVERSIONES FORESTALES.","BioCarbon Standard","BCR0001_ARR Activities","Forestry","Colombia",Rejected,,,0,0,0,0
"Guangxi Luchuan IFM (conversion of logged to protected forest) Project","2730","Not specified","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Proyecto Forestal Fundación Obra Social Redentorista Señor de los Milagros","PCR-CO-630-142-001","Fundación Obra Social Redentorista Señor de los Milagros","BioCarbon Standard","CDM - AR-ACM0003","Forestry","Colombia",Registered,,,0,348344,149545,198799
"Mindanao Forests for People and Sustainable Livelihoods (MinFor)","3773","Not specified","Verra","VM0007","Agriculture; forestry and fishing","Philippines",Listed,,,0,0,0,0
"Small scale Jhansi JFM A/R CDM Project on degraded lands in Jhansi Forest Division, Uttar Pradesh, India","IKMQQ2OSVS8ABEPEZRAFY9AERSEKH5","n.a.","CDM Registry","CDM - AR-AMS0007","Afforestation and reforestation","India",Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,5464,5464,0,5464
"Fujian longyan IFM (conversion of logged to protected forest) Project","3170","Hangzhou Chaoteng Energy Technology Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Developing Carbon Finance Project for Van Panchayats in Soil Conservation  Forest Division Nainital (Uttarakhand)","3296","Not specified","Verra","VM0037","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Small scale Kashi JFM A/R CDM Project on degraded lands in Kashi Forest Division, Uttar Pradesh, India","CPKJHVLPKX554G6128M1PRS09GZEAO","n.a.","CDM Registry","CDM - AR-AMS0007","Afforestation and reforestation","India",Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"GS5047 VPA92 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XIX","GS11027","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"GS5047 VPA48 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project II","GS10741","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Proyecto Forestal CO2Cero Reforestadores Vichada-Meta","PCR-CO-ECO-14-003","Participantes de la iniciativa Agrolar SAS, Bazim SAS, Agroforestales Bonanza SAS, Carlos Beltrán, Compadres SAS, El Capricho Vichada SAS, Hernán Trujillo, Inversiones Guardabosques de Colombia SAS, La Fortuna Andrea SAS, Punta de Garzas Inversiones Forestales SAS y Terramax SAS.","BioCarbon Standard","CDM - AR-ACM0003","Forestry","Colombia",De-registered,,,0,0,0,0
"The Republic of the Congo Improved Forest Management Project","4525","Société d'Exploitation Forestière Yuan Dong","Verra","VM0010","Agriculture; forestry and fishing","Congo",Listed,,,0,0,0,0
"Lavardin Improved Forest Management through the Extension of Rotation Age","4658","Pike Carbosur S.A.","Verra","VCS-VM0003","Agriculture; forestry and fishing","Uruguay",Listed,,,0,0,0,0
"Ola Hou – Restoring Hawaii’s Native Forests","2321","State of Hawaii Department of Land and Natural Resources Division of Forestry and Wildlife","Verra","VCS-AR-ACM0003","Agriculture; forestry and fishing","United States of America",Listed,,,0,0,0,0
"Symbiosis Continuous Cover Forest Project","4592","SYMBIOSIS INVESTIMENTOS E PARTICIPAÇÕES S.A.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Hainan Jinhua IFM(Coversion of logged to protected forest)  Project","4609","Hangzhou Chaoteng Energy Technology Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"GS5047 VPA67 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XII","GS10998","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"GS5047 VPA90 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XVII","GS11025","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"The Makira Forest Protected Area in Madagascar","1215","The Wildlife Conservation Society (WCS)","Verra","VM0007","Agriculture; forestry and fishing","Madagascar",Registered,,,0,654903,616089,38814
"Forestal Sylvis Silvopastoral Carbon Project","5370","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Paraguay",Listed,,,0,0,0,0
"Restoration of Degraded Lands through Reforestation in MAU Forest Complex, Kenya","DMCO1TBUCORJZSM7R0MZ5P4RXGWN5T","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Kenya",Registered,2011-10-04T00:00:00.000Z,2041-10-03T00:00:00.000Z,0,0,0,0
"GS5047 VPA81 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project IX","GS11017","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"THE FOREST CARBON PROJECT AGROREFORESTADORA RANCHO VICTORIA S. A","3849","AGROREFORESTADORA RANCHO VICTORIA S.A","Verra","AR-ACM0003","Agriculture; forestry and fishing","Colombia",Listed,,,0,0,0,0
"Yvoty REDD+ Project: Forest Conservation in Eastern Paraguay","4743","Ecosecurities Group Limited","Verra","VCS-VM0007","Agriculture; forestry and fishing","Paraguay",Listed,,,0,0,0,0
"Forest Plantation Project in Ujjain, India","3172","Ujjain Smart City Limited","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Lock Haven Improved Forest Management Project","1377","Lock Haven City Authority","Verra","VM0003","Agriculture; forestry and fishing","United States of America",Registered,,,0,82271,64445,17826
"Small scale Allahabad JFM A/R CDM Project on degraded lands in Allahabad Forest Division, Uttar Pradesh, India","TI6KZWRWSNBF6AKYZVQEQ482U3AJR1","n.a.","CDM Registry","CDM - AR-AMS0007","Afforestation and reforestation","India",Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,9157,9157,0,9157
"Small scale Mahoba JFM A/R CDM Project on degraded lands in Mahoba Forest Division, Uttar Pradesh, India","I6M27DYRELR0UCKZCTE2T0QEM5M9F9","n.a.","CDM Registry","CDM - AR-AMS0007","Afforestation and reforestation","India",Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"GS5047 VPA91 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XVIII","GS11026","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"The New Zealand Indigenous Forest Regeneration Project","4651","New Zealand Forestry Removals Limited","Verra","VCS-VM0012","Agriculture; forestry and fishing","New Zealand",Listed,,,0,0,0,0
"Biomass Residue-based Thermal Energy Generation Project at Yongzhou Kaiheng Forest Industry Co., Ltd.","PLCEA8TMH17AWKBKE256VSGOOCDABJ","Hunan CDM Project Service Center","CDM Registry","CDM - AMS-I.C.","Energy industries (renewable - / non-renewable sources)","China",Withdrawn,2011-01-01T00:00:00.000Z,2020-12-31T12:00:00.000Z,0,0,0,0
"GS5047 VPA66 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XI","GS10997","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Inner Mongolia Alongshan Improved Forest Management Project","2722","A’longshan Forest Industry Co. LTD","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Ishinomaki Improved Forest Management Project","4895","Hitachi Systems","Verra","VM0045","Agriculture; forestry and fishing","Japan",Listed,,,0,0,0,0
"Hubei jianshi IFM (conversion of logged to protected forest) Project","2719","State owned Gaoyanzi Forest Farm in Jianshi County","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"PANAMA FORESTS CONSERVATION PROJECT REDUCTION OF GHG EMISSIONS THROUGH DEFORESTATION AND AVOIDED DEGRADATION.  -Alliance of Indigenous Peoples and Rural Communities of Panama-","2578","APRONAD Asociacion para la Promocion de Nuevas Alternativas de Desarrllo","Verra","VM0015","Agriculture; forestry and fishing","Panama",Listed,,,0,0,0,0
"GS5047 VPA47 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project I","GS10740","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Installation of a biomass-fired boiler at Arbec Forest Products G.P. in Péribonka","781","Arbec Forest Products G.P.","Verra","AMS-I.C.","Energy Industries (renewable/non-renewable sources)","Canada",Registered,,,0,0,0,0
"Westphalen Forest Carbon Project","3363","Matthias Graf von Westphalen","Verra","VM0012","Agriculture; forestry and fishing","Germany",Listed,,,0,16787,0,16787
"Kikonda Forest Reserve","GS2990","Nile Fibreboard Ltd.","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Uganda",Registered,,,0,0,0,0
"Huinan County Improved Forest Management Project","4227","Jinyongli Carbon Oxygen Technology (Jilin) Co.","Verra","VCS-VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Restoration and Conservation of Dry Afromontane Forest in the Highlands of Eastern Tigray","3429","WeForest ASBL","Verra","AR-ACM0003","Agriculture; forestry and fishing","Ethiopia",Listed,,,0,0,0,0
"GS5047 VPA82 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project X","GS11018","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Liza Protect Forest","5075","CARBON13 LTD","Verra","VCS-VM0007","Agriculture; forestry and fishing","Congo",Listed,,,0,0,0,0
"PROJECT BUFFALO | WESTERN GUINEAN LOWLAND FOREST ECOSYSTEM RESTORATION","5351","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Sierra Leone",Listed,,,0,0,0,0
"Growing Forest Carbon Project","5003","Not specified","Verra","VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"Strengthening rural livelihood through carbon finance : Agroforestry practices in Meerut Forest circle of Uttar Pradesh","3698","Department of Environment","Verra","AR-AMS0007","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Restoration of Degraded Lands through Reforestation in Aberdare Forest Complex & National Park area, Kenya","0LCD8U09HEN46XXT0YIX3XP5SYME0N","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Kenya",Registered,2011-10-04T00:00:00.000Z,2041-10-03T00:00:00.000Z,0,0,0,0
"Guangxi Dahua IFM (conversion of logged to protected forest) Project","2727","Dahua Yao Autonomous County State owned Assets Investment Management Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"GS5047 VPA69 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XIV","GS11000","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Knollwood Improved Forest Management Project","4676","CarbonCents","Verra","VM0003","Agriculture; forestry and fishing","United States of America",Listed,,,0,0,0,0
"GS5047 VPA73 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XVIII","GS11004","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Jiangxi Tonggu Improved Forest Management Project","3001","Jiangxi Huapeng Industrial Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"XINJIANG MAKIT COUNTY WINDBREAK AND SAND FIXATION ECOLOGICAL FOREST CONSTRUCTION BASE PROJECT","4455","Shenzhen Vanke Millennial Development Co. Ltd.","Verra","ACM0003","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Biomass Residue-based Thermal Energy Generation Project at Huaihua Ruibang Forest Industry Co., Ltd.","JYYZCKSINJOR3ZITLJKG0QVUO58K5Z","Continental Carbon India","CDM Registry","CDM - AMS-I.C.","Energy industries (renewable - / non-renewable sources)","China",Validated,2011-01-01T00:00:00.000Z,2020-12-31T12:00:00.000Z,0,0,0,0
"Afforestation on the Big Island of Hawaii: Restoring native hardwood forests and enhancing multiple ecosystem services","GS3260","HLH","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","United States of America",Registered,,,0,0,0,0
"Hubei Badong IFM (conversion of logged to protected forest) Project","3886","Not specified","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Inner Mongolia Kuduer Improved Forest Management Project","4080","Kuduer Forest Industry Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"GS5047 VPA70 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XV","GS11001","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Forest Management to reduce deforestation and degradation in Shipibo Conibo and Cacataibo Indigenous communities of Ucayali region","1360","Not specified","Verra","VM0015","Agriculture; forestry and fishing","Peru",Listed,,,0,3177589,2307720,869869
"Thermoelectric Power Plant of 20MW driven by biomass originating from recently-planted energy forest dedicated to the project  UTE RONDON II","VTT6WROK7XWOHSB41HAFYFCZ5B897A","CBEM, University of São Paulo","CDM Registry","CDM - AM0042","NA","Brazil",Withdrawn,2009-01-15T00:00:00.000Z,2019-01-15T12:00:00.000Z,0,0,0,0
"Shaanxi Shiquan Improved Forest Management Project","3124","China Carbon Sinks Holdings Limited","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Reduced Emissions from Deforestation and Degradation in Community Forests – Oddar Meanchey, Cambodia","904","Royal Government of Cambodia-Forestry Admin","Verra","VM0006","Agriculture; forestry and fishing","Cambodia",Registered,,,0,48000,44635,3365
