Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Community Forestry Initiatives in India","3552","SAUNTA GAUNTA FOUNDATION","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR.","02KH97HWZ25EXXPVGLS7MYE5PLNF7W","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Lao People's Democratic Republic",Validated,2008-06-01T00:00:00.000Z,2038-06-01T12:00:00.000Z,0,0,0,0
"Paracel ARR Carbon Forestry Project","3196","PARACEL SA","Verra","AR-ACM0003","Agriculture; forestry and fishing","Paraguay",Listed,,,0,0,0,0
"Songtao Agriculture and Forestry Biomass Power Project","MGWNUVQCWC6D31A4UK1NJIK227L4Q5","n.a.","CDM Registry","CDM - ACM0018","Energy industries (renewable - / non-renewable sources)","China",Authorized,2014-04-01T00:00:00.000Z,2021-03-31T00:00:00.000Z,0,0,0,0
"Sustainable Forestry Management Plan Capture and Sequestration Carbon","1561","Global Servicos de Engenharia","Verra","AR-ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Moldova Community Forestry Development Project","RZ5M0HDR7X5Y4ANBBZLSGYRU27G6G2","WB-CF","CDM Registry","CDM - AR-AM0002","Afforestation and reforestation","Moldova",Registered,2006-11-01T00:00:00.000Z,2036-10-31T00:00:00.000Z,1023906,1023906,56557,967349
"Quebec Forestry Sector Carbon Sequestration Grouped Project Pivot","1916","Not specified","Verra","VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,395721,7991,387730
"Rai Matak Covalima Community Forestry Program","GS11743","xPand Foundation","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Timor-Leste",Listed,,,0,0,0,0
"CDM Project for Forestry Restoration in Productive and Biological Corridors in the Eastern Plains of Colombia","Q6APY67C396D5BCQVCYU1UQTQEATEQ","n.a.","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Colombia",De-registered,2005-06-02T00:00:00.000Z,2025-06-01T00:00:00.000Z,1282853,1282853,1257195,25658
"Farm Forestry Initiatives for Promotion of Community Livelihoods and Climate Resilience in Odisha, India","5031","Kosher Climate India Pvt. Ltd.","Verra","VM0047","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Grouped Reforestation Project by Cropzone Agro Forestry Private Limited","2833","CropZone Agro Forestry Private Limited","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Registered,,,0,40303,1350,38953
"Moldova Community Forestry Development Project","6J7W437VA4321BQ1V50OCM3PQ2VA2H","Om Sakthi Power Private","CDM Registry","CDM - AR-AM0002","Afforestation and reforestation","Moldova",Withdrawn,2006-11-01T00:00:00.000Z,2036-10-31T12:00:00.000Z,0,0,0,0
"Nigeria Community-based Forestry Project","5038","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Nigeria",Listed,,,0,0,0,0
"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR","1684","Lao Thai Hua Rubber Co. Ltd","Verra","AR-ACM0003","Agriculture; forestry and fishing","Lao People's Democratic Republic",Listed,,,0,106092,65551,40541
"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR.","VG9OE34YH3VA3E2HZG1BEO24VAR2NI","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Lao People's Democratic Republic",Registered,2015-06-18T00:00:00.000Z,2045-06-17T00:00:00.000Z,0,0,0,0
"Forestry Project for the Basin of the Chinchina River, an Environmental and Productive Alternative for the City and the Region","1378","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Colombia",Registered,,,0,223517,222449,1068
"Forestry Project “More Forests for Medellin”","1434","Secretaría del Medio Ambiente del Municipio de Medellín","Verra","AR-ACM0003","Agriculture; forestry and fishing","Colombia",Listed,,,0,0,0,0
"MOTOR VERDE FORESTRY CARBON PROJECT - GRANDAS DE SALIME (SPAIN)","3813","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Spain",Listed,,,0,0,0,0
"Project for Forestry Restoration in Productive and Biological Corridors in the Eastern Plains of Colombia","BCR-CO-261-14-001","Organización La Primavera S.A., Bosques de la Orinoquía S.A., Bosques de La Primavera S.A., the María Padres Monfortianos Company, the Reforestadora Guacamayas S.A, Incomser Ltda  and the Reforestadora Los Cambulos S.A.S","BioCarbon Standard","CDM - AR-ACM0003","Forestry","Colombia",Registered,,,0,8824117,3383493,5440624
"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR","PSO49NLKSHN2OGARN9FNR6NE6ZCBFQ","POCH Ambiental","CDM Registry","CDM - AR-ACM0002","Afforestation and reforestation","Lao People's Democratic Republic",Validated,2008-06-01T00:00:00.000Z,2038-06-01T12:00:00.000Z,0,0,0,0
"Motor Verde+Floresta Forestry Carbon Project. Portugal Central Region I","4286","Grupo SYLVESTRIS SL","Verra","Methodology Under Development","Agriculture; forestry and fishing","Portugal",Listed,,,0,0,0,0
"Farm Forestry Initiatives for Promotion of Community Livelihoods and Climate Resilience in Odisha, India","5031","Kosher Climate India Pvt. Ltd.","Verra","VM0047","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Cogeneration of power and steam from Bioener S.A´s forestry waste","T14T4PDVOSO7QPRY8YZG9ROJ4P7XSP","Carbosur","CDM Registry","CDM - AMS-I.C.; AMS-III.E.","NA","Uruguay",Registered,2011-10-11T00:00:00.000Z,2018-10-10T00:00:00.000Z,0,0,0,0
"Community-based reforestation project on degraded lands in Uttar Pradesh, India by Indian Farm Forestry Development Co-operative Limited","1015","Indian Farm Forestry Development Co-operative Limited","Verra","AR-AMS0005","Agriculture; forestry and fishing","India",Registered,,,0,83688,9526,74162
"Amigos de Calakmul Community Conservation Forestry Program, Mexico","3479","Not specified","Verra","ACM0010","Agriculture; forestry and fishing","Mexico",Listed,,,0,0,0,0
"Congjiang Agriculture and Forestry Biomass Power Project","XVLDQ10813MAO1VNTOL5Y1NU8DML2P","n.a.","CDM Registry","CDM - ACM0018","Energy industries (renewable - / non-renewable sources)","China",Authorized,2014-06-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,0,0,0,0
"Komaza Smallholder Farmer Forestry Kenya","2623","Komaza Group Inc.","Verra","AR-AMS0007","Agriculture; forestry and fishing","Kenya",Listed,,,0,0,0,0
"WithOneSeed Timor Leste Community Forestry Program","GS4210","xPand Foundation","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Timor-Leste",Registered,,,0,0,0,0
"Carbono Agroforestal La Argentina","31","Forestry Consulting Group S.A.S.","Cercarbono","NTC 6208 - Mitigation actions in the land use, change in land use and forestry sector at the rural level, incorporating social and biodiversity considerations","Agriculture; forestry and fishing","Colombia",Approved,,,0,50140,42619,7521
